NAME,LATITUDE,LONGITUDE
"Angola/Dundo",-7.36643,20.81557
"Angola/Chitato",-7.3,20.73333
"Angola/Cassanguidi",-7.48367,21.30339
"Angola/Lumbala",-14.10165,21.43531
"Angola/Luau",-10.70727,22.22466
"Angola/Cazombo",-11.89914,22.90216
"Angola/Nzagi",-8.38549,15.30126
"Angola/Uíge",-7.60874,15.06131
"Angola/Tombôco",-6.80517,13.33017
"Angola/Soyo",-6.1349,12.36894
"Angola/Songo",-7.35207,14.84629
"Angola/Sanza Pombo",-7.31473,16.0024
"Angola/N'zeto",-7.228,12.86956
"Angola/Negage",-7.75938,15.2722
"Angola/N'dalatando",-9.29782,14.91162
"Angola/Mussende",-10.5143,16.0199
"Angola/Mbanza Kongo",-6.26667,14.23833
"Angola/Maquela do Zombo",-6.05716,15.10971
"Angola/Malanje",-9.54015,16.34096
"Angola/Maianga",-8.84693,13.23698
"Angola/Lucala",-9.27268,15.25206
"Angola/Lubalo",-9.15445,19.28136
"Angola/Luanda",-8.83682,13.23432
"Angola/Cunda diá Baze",-8.90769,17.05339
"Angola/Golungo Alto",-9.13333,14.76667
"Angola/Dondo",-9.68456,14.42788
"Angola/Dondo",-9.05,15.31667
"Angola/Cuímba",-6.12085,14.62086
"Angola/Cuilo",-8.23619,19.52566
"Angola/Cuango-Luzamba",-9.14583,18.04453
"Angola/Cazombo",-8.73204,15.37124
"Angola/Caxito",-8.57848,13.66425
"Angola/Cangandala",-9.78333,16.43333
"Angola/Camabatela",-8.18812,15.37495
"Angola/Cacuso",-9.42102,15.74668
"Angola/Cabinda",-5.56198,12.19476
"Angola/Buco Zau",-4.76667,12.55
"Angola/Belize",-4.65,12.76667
"Angola/Barra do Dande",-8.47175,13.37011
"Angola/Bailundo",-9.57499,15.99442
"Angola/Gama",-8.5675,13.47639
"Angola/Cazenga",-8.82488,13.31318
"Angola/Talatona",-8.91783,13.18562
"Angola/Xangongo",-16.7444,14.97494
"Angola/Alto Hama",-12.23333,15.55
"Angola/Virei",-15.727,12.94961
"Angola/Ucuma",-12.96121,15.05958
"Angola/Ucu Seles",-11.41237,14.30663
"Angola/Tômbua",-15.80394,11.84485
"Angola/Sumbe",-11.20605,13.84371
"Angola/Quipungo",-14.81909,14.53504
"Angola/Quibala",-10.73366,14.97995
"Angola/Porto Amboim",-10.73251,13.76844
"Angola/Ondjiva",-17.06667,15.73333
"Angola/Nharêa",-11.47512,16.96496
"Angola/Mossamedes",-15.19611,12.15222
"Angola/Mungo",-11.83268,16.23613
"Angola/Menongue",-14.6585,17.69099
"Angola/Matala",-14.73272,15.03479
"Angola/Luquembo",-10.73912,17.71766
"Angola/Luena",-11.78333,19.91667
"Angola/Lubango",-14.91717,13.4925
"Angola/Longonjo",-12.90795,15.24845
"Angola/Londuimbali",-12.23712,15.31697
"Angola/Lobito",-12.3644,13.53601
"Angola/Cuíto",-12.38333,16.93333
"Angola/Catchiungo",-12.56598,16.22589
"Angola/Humbe",-16.6864,14.90317
"Angola/Huambo",-12.77611,15.73917
"Angola/Ganda",-13.01592,14.63502
"Angola/Gabela",-10.85147,14.37993
"Angola/Dombe Grande",-12.95167,13.1025
"Angola/Cuemba",-12.15,18.08333
"Angola/Cubal",-13.03865,14.2455
"Angola/Conda",-11.10862,14.33621
"Angola/Chitembo",-13.55,16.63333
"Angola/Chinguar",-12.55708,16.33805
"Angola/Cela",-11.42173,15.12345
"Angola/Catumbela",-12.43002,13.54677
"Angola/Catabola",-12.15,17.28333
"Angola/Capunda",-11.13333,14.46667
"Angola/Camucuio",-14.11667,13.25
"Angola/Cambundi Catembo",-10.07531,17.55058
"Angola/Camacupa",-12.01667,17.48333
"Angola/Caluquembe",-13.86667,14.43333
"Angola/Calulo",-10.00055,14.89519
"Angola/Caála",-12.8525,15.56056
"Angola/Bocoio",-12.47017,14.13688
"Angola/Benguela",-12.57674,13.40268
"Angola/Balombo",-12.35426,14.77232
"Angola/Baía Farta",-12.60417,13.19667
"Angola/Andulo",-11.48676,16.69663
"Angola/Cambundi",-7.46856,17.03769
"Angola/Cafunfo",-8.7672,17.99572
"Angola/Santa Clara",-10.19156,15.43408
"Angola/Quissecula",-11.39223,15.09201
"Angola/Cambundi",-10.89481,17.76402
"Angola/Ingombota",-8.81806,13.22889
"Angola/Rangel",-8.82644,13.26285
"Angola/Samba",-8.83801,-8.83801
"Angola/Sambizanga",-8.78883,13.27506
"Anguilla/The Valley",18.21704,-63.05783
"Antigua and Barbuda/Saint John’s",17.12096,-61.84329
"Argentina/Zárate",-34.09584,-59.02423
"Argentina/Colonia Wanda",-25.97337,-54.56304
"Argentina/Villa Ortúzar",-34.57973,-58.46829
"Argentina/Villa Ocampo",-28.48726,-59.35421
"Argentina/Villa Lugano",-34.67907,-58.47263
"Argentina/Villaguay",-31.86767,-59.02701
"Argentina/Villa Gesell",-37.26394,-56.97304
"Argentina/Villa de Mayo",-34.5108,-58.68059
"Argentina/Tortuguitas",-34.47513,-58.75367
"Argentina/Tigre",-34.42603,-58.57962
"Argentina/Tandil",-37.3287,-59.1369
"Argentina/San Vicente",-26.61667,-54.13333
"Argentina/Santo Tomé",-28.55104,-56.04125
"Argentina/Santos Lugares",-34.60306,-58.54074
"Argentina/Santa Elena",-30.94432,-59.78832
"Argentina/San Pedro",-33.67918,-59.66633
"Argentina/San Pedro",-26.6218,-54.10902
"Argentina/San Luis del Palmar",-27.50766,-58.55625
"Argentina/San Lorenzo",-28.13442,-58.76685
"Argentina/San Justo",-34.68107,-58.56379
"Argentina/San Javier",-30.58072,-59.92962
"Argentina/San Isidro",-34.46971,-58.52111
"Argentina/San Antonio de Padua",-34.66267,-58.69819
"Argentina/Saladillo",-35.63884,-59.77938
"Argentina/Saladas",-28.25504,-58.62386
"Argentina/Retiro",-34.58333,-58.38333
"Argentina/Resistencia",-27.46363,-58.98665
"Argentina/Reconquista",-29.15,-59.65
"Argentina/Quilmes",-34.72065,-58.25454
"Argentina/Puerto Rico",-26.8089,-55.02147
"Argentina/Puerto Iguazú",-25.59912,-54.57355
"Argentina/Puerto Esperanza",-26.02267,-54.61356
"Argentina/Puerto Eldorado",-26.40843,-54.69463
"Argentina/Posadas",-27.39184,-55.92379
"Argentina/Pontevedra",-34.74947,-58.70158
"Argentina/Pirané",-25.73271,-59.10989
"Argentina/Pilar",-34.45867,-58.91398
"Argentina/Paso de los Libres",-29.71251,-57.08771
"Argentina/Oberá",-27.48683,-55.11994
"Argentina/Nogoyá",-32.39375,-59.78955
"Argentina/Necochea",-38.5545,-58.73961
"Argentina/Muñiz",-34.55622,-58.70739
"Argentina/Morón",-34.65118,-58.62205
"Argentina/Monte Caseros",-30.2518,-57.63537
"Argentina/Montecarlo",-26.56849,-54.7579
"Argentina/Merlo",-34.66536,-58.72744
"Argentina/Mercedes",-34.65072,-59.43143
"Argentina/Mercedes",-29.18416,-58.07519
"Argentina/Haedo",-34.64239,-58.59212
"Argentina/Mar del Plata",-38.00042,-57.5562
"Argentina/Luján",-34.5664,-59.11478
"Argentina/Los Polvorines",-34.50316,-58.70596
"Argentina/Lomas de Zamora",-34.7574,-58.40279
"Argentina/La Plata",-34.92126,-57.95442
"Argentina/La Paz",-30.74179,-59.64517
"Argentina/Jardín América",-27.04346,-55.22698
"Argentina/Ituzaingó",-27.58504,-56.68707
"Argentina/Hurlingham",-34.5904,-58.62904
"Argentina/Gualeguaychú",-33.00777,-58.51836
"Argentina/Gualeguay",-33.14091,-59.31257
"Argentina/Goya",-29.13995,-59.26343
"Argentina/Gobernador Virasora",-28.05,-56.03333
"Argentina/General Pacheco",-34.45256,-58.64312
"Argentina/General José de San Martín",-26.53643,-59.34138
"Argentina/Garupá",-27.48315,-55.82924
"Argentina/Formosa",-26.18489,-58.17313
"Argentina/Fontana",-27.42039,-59.03731
"Argentina/Federal",-30.95619,-58.7797
"Argentina/Ezeiza",-34.8544,-58.52474
"Argentina/Esquina",-30.01476,-59.5289
"Argentina/El Soberbio",-27.29662,-54.19811
"Argentina/El Palomar",-34.61771,-58.60153
"Argentina/Don Torcuato",-34.49459,-58.62729
"Argentina/Dolores",-36.31539,-57.67546
"Argentina/Curuzú Cuatiá",-29.79145,-58.0499
"Argentina/Corrientes",-27.46784,-58.8344
"Argentina/Concordia",-31.39195,-58.01706
"Argentina/Concepción del Uruguay",-32.48463,-58.23217
"Argentina/Colón",-32.22312,-58.14426
"Argentina/Colegiales",-34.57365,-58.44924
"Argentina/Chascomús",-35.57681,-58.01215
"Argentina/Chajarí",-30.75482,-57.98196
"Argentina/Castelar",-34.65142,-58.64074
"Argentina/Campana",-34.16327,-58.95919
"Argentina/Buenos Aires",-34.61315,-58.37723
"Argentina/Boedo",-34.63333,-58.41667
"Argentina/Berazategui",-34.76531,-58.21278
"Argentina/Bella Vista",-34.5651,-58.69034
"Argentina/Belgrano",-34.5627,-58.45829
"Argentina/Barranqueras",-27.48132,-58.93925
"Argentina/Barracas",-34.64966,-58.38341
"Argentina/Balcarce",-37.84638,-58.25549
"Argentina/Azul",-36.77803,-59.85848
"Argentina/Ayacucho",-37.15276,-58.48838
"Argentina/Avellaneda",-29.11761,-59.65834
"Argentina/Aristóbulo del Valle",-27.09571,-54.89344
"Argentina/Apóstoles",-27.91421,-55.75355
"Argentina/Zapala",-38.90056,-70.06674
"Argentina/Yerba Buena",-26.81298,-65.29543
"Argentina/Villa Regina",-39.09631,-67.08374
"Argentina/Villa Paula de Sarmiento",-31.4933,-68.53838
"Argentina/Villa Nueva",-32.43289,-63.24811
"Argentina/Villa María",-32.40751,-63.24016
"Argentina/Villa Dolores",-31.94504,-65.19025
"Argentina/Villa Constitución",-33.22795,-60.32994
"Argentina/Villa Carlos Paz",-31.4183,-64.49008
"Argentina/Villa Ángela",-27.57679,-60.71114
"Argentina/Villa Allende",-31.29368,-64.2977
"Argentina/Viedma",-40.81519,-63.0004
"Argentina/Victoria",-32.61841,-60.15478
"Argentina/Vera",-29.45986,-60.21315
"Argentina/Venado Tuerto",-33.74585,-61.96711
"Argentina/Veinticinco de Mayo",-35.43247,-60.17156
"Argentina/Ushuaia",-54.81084,-68.31591
